artifact,level,condition,mse_mean,mse_std,psnr_mean,psnr_std,n
blur,5,blur_L5,0.011169208399951457,0.0035298524752846692,19.765079608588824,1.5859515259663834,20
blur,6,blur_L6,0.013038365566171706,0.004003154662028458,19.080585528481958,1.5439800990323418,20
blur,7,blur_L7,0.014717456861399114,0.0044317064262639145,18.545229009108255,1.5100734565263583,20
blur,8,blur_L8,0.01625268270727247,0.0048293092591119545,18.107230904112313,1.4823796134984835,20
blur,9,blur_L9,0.017680352204479277,0.00520785436446985,17.736227249460423,1.460118183993804,20
blur,10,blur_L10,0.01902715414762497,0.005576714950611011,17.41351069372978,1.4427117424127027,20
ghosting,5,ghosting_L5,0.017651198152452707,0.006270216421207171,17.77222939666985,1.4526062496094756,20
ghosting,6,ghosting_L6,0.024426558520644903,0.008670036423998618,16.36098758534538,1.4515700205212125,20
ghosting,7,ghosting_L7,0.03258157288655639,0.011574013926968421,15.11021842612789,1.4524671855470406,20
ghosting,8,ghosting_L8,0.041929418500512836,0.014901155058307884,14.014926425603793,1.4529456923912742,20
ghosting,9,ghosting_L9,0.04714245777577162,0.016763571218818305,13.506231359423385,1.453604691262463,20
ghosting,10,ghosting_L10,0.05240055331960321,0.01863854460962162,13.047122033913164,1.4539727207506248,20
